parName,mean,84th percentile,16th percentile
q_core,0.12546001953246483,0.13413929900824612,0.11488948275829325
dphi_core,0.040014533108557675,0.040270514054613585,0.03981061216899523
rwd_core,0.018836994159545255,0.02031611101072642,0.017468492232705884
wdFlux_g,0.09339472635199171,0.09870242307514782,0.08895200981159099
rsFlux_g,0.007329152349132637,0.014690320991910037,0.002730194169314081
dFlux_0,0.038821700284303276,0.04654650642105365,0.031043590647535504
sFlux_0,0.08102127286182913,0.08530555684582367,0.0762261837629013
ulimb_0,0.2839999235089808,0.2839999891969046,0.28399986006935457
rdisc_0,0.4989399441238225,0.5219685689745478,0.47614982058949185
scale_0,0.037168508991133935,0.05013120699390878,0.019267184127987877
az_0,130.37532123842257,134.3467959676077,127.02835602115991
fis_0,0.04535341395132716,0.08333974478045614,0.013146636610288698
dexp_0,0.23036464070014828,1.00282318879742,0.006782848773854762
phi0_0,7.181257728992879e-05,0.0005588376424860472,-0.00043335633061547464
exp1_0,0.9559913426509805,3.191844289131936,0.30861956865769336
exp2_0,0.8172565165848007,1.0743095419211675,0.6664115967893935
yaw_0,-0.19660993874426475,-0.06339583915601948,-0.33619599671371414
tilt_0,39.98565071889652,56.24684516035981,28.341713658748574
dFlux_1,0.07224024880417909,0.07809834244284491,0.06456325091530891
sFlux_1,0.15976106592788114,0.1622710589780788,0.15734662439910205
ulimb_1,0.2839999478622862,0.28400000569619943,0.2839998830624159
rdisc_1,0.47409288133487587,0.48919849614660477,0.4559267442731426
scale_1,0.0454535175098985,0.053591330441175956,0.03388040359404541
az_1,51.70482291184203,58.07149463641812,50.37096144640949
fis_1,0.04142592982113992,0.07919587073468072,0.01576212879679608
dexp_1,1.9662998571058394,1.9914078577883436,1.9028315749214473
phi0_1,-0.0017778186443290192,-0.0016661042328429772,-0.0018838698262300666
exp1_1,4.632439924038725,4.897883283637044,4.13978714524197
exp2_1,1.092783272873798,1.1776170545029423,0.9807649278194003
yaw_1,67.10915413760218,68.6938496256986,60.967769304826184
tilt_1,61.85371421020162,79.79398361534409,52.44090267958355
wdFlux_KG5,0.05114013481457051,0.05385123423881798,0.047538175584815046
rsFlux_KG5,0.026658299596316017,0.029812798884883217,0.023038668499771507
dFlux_string_eclipse_label,0.050747701114733465,0.0548584864101946,0.04672516511983225
sFlux_string_eclipse_label,0.06554042638785798,0.06729053239704375,0.06377429778813465
ulimb_string_eclipse_label,0.2840001653938223,0.28400026303424086,0.2840000382163385
rdisc_string_eclipse_label,0.556584360681176,0.5713722155733908,0.5447018653904763
scale_string_eclipse_label,0.030525561124078913,0.048143658844443216,0.012125895219656724
az_string_eclipse_label,121.02881270940432,125.9426691720811,116.86102697512585
fis_string_eclipse_label,0.06701621016431127,0.08966598321188568,0.045526253357867606
dexp_string_eclipse_label,0.1653598892596978,0.6047600640391055,0.00560214579918337
phi0_string_eclipse_label,-0.0004667221588602967,-0.00010738508891860272,-0.0008328420857079402
exp1_string_eclipse_label,3.514921630987381,4.529485536521061,2.2949441508222965
exp2_string_eclipse_label,1.1052605766425976,1.331794738817998,0.8266474841697768
yaw_string_eclipse_label,-4.198072643248992,-0.7172212310938206,-9.193885780973027
tilt_string_eclipse_label,126.74115532464951,134.43412435855217,114.24223828882305
dFlux_3,0.089604134395428,0.09443339534184625,0.08534658012955364
sFlux_3,0.06379918490817818,0.06652497522962714,0.061590778414834624
ulimb_3,0.284000177906659,0.28400028167673164,0.28400008659581694
rdisc_3,0.38522192346708506,0.40939505051296854,0.3649014553912364
scale_3,0.01319926514981412,0.03087439446552096,0.010664603511678528
az_3,119.74928548315405,125.29760683752065,114.69007363720382
fis_3,0.20828019700131817,0.2718518532008279,0.15234648720599236
dexp_3,1.0822437035784753,1.223386653987742,0.9525208830030816
phi0_3,3.227839028457891e-06,0.00020357817551201296,-0.00022290224033600113
exp1_3,0.6686584538724191,0.9554798589723582,0.2950790518396019
exp2_3,0.5966270888721673,0.7789823597479264,0.5257655214236672
yaw_3,4.488414490846738,9.553075862344055,-0.8604129081459249
tilt_3,69.5082906563216,94.44854230847918,51.12381789761102


  Chisq             = 2096.467
  ln prior          = 3.316
  ln like           = -1048.234
  ln prob           = -1044.918
